@id,@currency,@code_producer,@code_on_card,/producer@id,/producer@name,/category@id,/category@name[pol],/iai_category@id,/iai_category@path[pol],/unit@id,/unit@name[pol],/series@id,/series@name[pol],/price@gross,/price@net,/price@vat,/srp@gross,/srp@net,/srp@vat,/price_pos/price@gross,/price_pos/price@net,/price_pos/price@vat,/price_pos/price@size_id,/price_wholesale/site@gross,/price_wholesale/site@net,/price_wholesale/site@vat,/price_wholesale/site@id,/price_wholesale/site@size_id,/price_minimal/site@gross,/price_minimal/site@net,/price_minimal/site@vat,/price_minimal/site@id,/price_minimal/site@size_id,/price_retail/site@gross,/price_retail/site@net,/price_retail/site@vat,/price_retail/site@id,/price_retail/site@size_id,/pricecomparator_price/site@gross,/pricecomparator_price/site@net,/pricecomparator_price/site@vat,/pricecomparator_price/site@id,/pricecomparator_price/site@service_id,/auction_price/site@gross,/auction_price/site@net,/auction_price/site@vat,/auction_price/site@id,/auction_price/site@size_id,/auction_price/site@service_id,/auction_price/site@service_group_id,/auction_price/site@price_type,/sizes/size@id,/sizes/size@name,/sizes/size@code_producer,/sizes/size@code_external,/sizes/size@weight,/sizes/size@code,/sizes/size/price@gross,/sizes/size/price@net,/sizes/size/price@vat,/sizes/size/srp@gross,/sizes/size/srp@net,/sizes/size/srp@vat,/sizes/size/crossedout_retail_price@gross,/sizes/size/crossedout_retail_price@net,/sizes/size/crossedout_wholesale_price@gross,/sizes/size/crossedout_wholesale_price@net,/sizes/size/stock@size_id,/sizes/size/stock@stock_id,/sizes/size/stock@quantity,/sizes/size/stock@location_id,/sizes/size/stock@location_text_id,/card@url[pol],/delivery_time/mode@type,/delivery_time/time@days,/sum_in_basket@value,/images/large/image@url,/images/large/image@date_changed,/images/large/image@hash,/images/icons/icon@url,/images/icons/icon@date_changed,/images/icons/icon@hash,/images/icons/auction_icon@url,images/icons/group_icon@url,/associated_products/product@id,/associated_products/product@code_external,/hotspots/price@normal_price,/hotspots/price@wholesale_price,/hotspots/price@ending_date,/hotspots/price@enabled,/hotspots/price@promotion,/hotspots/price@discount,/hotspots/price@distinguished,/hotspots/price@special,/hotspots/site@id,/hotspots/site@manual_config,/hotspots/site/promotion@visible,/hotspots/site/discount@visible,/hotspots/site/distinguished@visible,/hotspots/site/special@visible,/enable_in_pos@enabled,/taxcode,/availability_profile@id,/availability_management@value,/loyalty_program/site@id,/loyalty_program/site@operation,/loyalty_program/site@clients,/loyalty_program/site@points,/advance@rate,/priority@level,/sell_by/retail@quantity,/sell_by/wholesale@quantity,/inwrapper@quantity,/visibility/site@visible,/visibility/price_comparator@visible,/availability/site@id,/availability/site@value,/attachments/audio/sound@url,/attachments/audio/sound@lang,/attachments/audio/sound@name,/attachments/document/doc@url,/attachments/document/doc@lang,/attachments/document/doc@name,/attachments/video/movie@url,/attachments/video/movie@lang,/attachments/video/movie@name,/attachments/other/file@url,/attachments/other/file@lang,/attachments/other/file@name,/attachments/image/picture@url,/attachments/image/picture@lang,/attachments/image/picture@name,/note,/warranty@id,/warranty@lang,/warranty@name,/navigation/site@id,/navigation/site/menu@id,/navigation/site/menu/item@textid[pol],/deliverer@id,/description/name[pol],/description/short_desc[pol],/description/long_desc[pol],/description/pricecomparator_name[pol],/description/auction_name[pol],/description/auction_long_desc[pol],/description/meta_title[pol],/description/meta_description[pol],/description/meta_keywords[pol],/description/name[eng],/description/short_desc[eng],/description/long_desc[eng],/description/pricecomparator_name[eng],/description/auction_name[eng],/description/auction_long_desc[eng],/description/meta_title[eng],/description/meta_description[eng],/description/meta_keywords[eng],/description/name[ger],/description/short_desc[ger],/description/long_desc[ger],/description/pricecomparator_name[ger],/description/auction_name[ger],/description/auction_long_desc[ger],/description/meta_title[ger],/description/meta_description[ger],/description/meta_keywords[ger],/parameters/parameter@textid[pol],/parameters/parameter@id,/parameters/parameter@name[pol],/parameters/parameter@description[pol],/parameters/parameter@priority,/parameters/parameter@type,/parameters/parameter@distinction,/parameters/parameter@group_distinction,/parameters/parameter@projector_hide,/parameters/parameter@auction_template_hide,/parameters/parameter/value@parameter_id,/parameters/parameter/value@value_id,/parameters/parameter/value@name[pol],/parameters/parameter/value@description[pol],/parameters/parameter/value@priority,/prices_configuration_for_shops@value,/size_chart@id,/size_chart@name[pol],/prices_config/site@type,/prices_config/site@id,/pos_prices_config/site@type,/pos_prices_config/site@id,/group@id,/group/group_by_parameter@id,/group/group_by_parameter@name[pol],/group/group_by_parameter/product_value@id,/group/group_by_parameter/product_value@name[pol],/auction_descriptions/site@service_id,/auction_descriptions/site@service_group_id,/auction_descriptions/site@auction_title,/auction_descriptions/site@auction_subtitle,/auction_descriptions/site@auction_description
"237","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","9.00","7.32","23.0","0.00","0.00","23.0","9.00","7.32","23.0","0","9.00","7.32","23.0","5","0","4.39","3.57","23.0","5","0","9.00","7.32","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAKSA-01","","20","237-uniw","9.00","7.32","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","1","-1.000","","","https://sklep.zaksa.pl/product-pol-237-DLUGOPIS-granatowy-ZAKSA-z-herbem.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/7/3/237_1.jpg","2019-10-21 14:12:41","","https://sklep.zaksa.pl/data/gfx/icons/large/7/3/237.jpg","2019-10-21 14:12:40","","","","","","","","","yes","no","no","no","no","5","yes","no","no","yes","no","yes","","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","no","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5
5
5","1
1
1
1
1","AKCESORIA\Szkolne
DO SZKOŁY 
Wszystkie produkty
Marketing\karta do koszyka
Marketing\Asortyment na gliwice","43","DŁUGOPIS granatowy „ZAKSA” z herbem","","","","","","","","","DŁUGOPIS granatowy „ZAKSA” z herbem","","","","","","","","","DŁUGOPIS granatowy „ZAKSA” z herbem","","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"238","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","6.00","4.88","23.0","0.00","0.00","23.0","6.00","4.88","23.0","0","2.55","2.07","23.0","5","0","2.55","2.07","23.0","5","0","6.00","4.88","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-02","","20","238-uniw","6.00","4.88","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","1","-1.000","","","https://sklep.zaksa.pl/product-pol-238-DLUGOPIS-granatowy-ZAKSA.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/8/3/238_2.jpg","2019-10-21 14:12:45","","https://sklep.zaksa.pl/data/gfx/icons/large/8/3/238.jpg","2019-10-21 14:12:43","","","","","","","","","yes","no","no","no","no","5","no","no","no","no","no","yes","","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","no","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5","1
1
1","AKCESORIA\Szkolne
DO SZKOŁY 
Wszystkie produkty","43","DŁUGOPIS granatowy „ZAKSA”","","","","","","","","","DŁUGOPIS granatowy „ZAKSA”","","","","","","","","","DŁUGOPIS granatowy „ZAKSA”","","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"239","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","3.00","2.44","23.0","0.00","0.00","23.0","3.00","2.44","23.0","0","1.32","1.07","23.0","5","0","1.32","1.07","23.0","5","0","3.00","2.44","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-03","","20","239-uniw","3.00","2.44","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","1","-1.000","","","https://sklep.zaksa.pl/product-pol-239-OLOWEK-czerwony-goZAKSA.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/9/3/239_2.jpg","2019-10-21 14:12:46","","https://sklep.zaksa.pl/data/gfx/icons/large/9/3/239.jpg","2019-10-21 14:12:45","","","","","","","","","yes","no","no","no","no","5","no","no","no","no","no","yes","","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","no","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5
5","1
1
1
1","AKCESORIA\Szkolne
DO SZKOŁY 
Wszystkie produkty
Marketing\Asortyment na gliwice","43","OŁÓWEK czerwony „#goZAKSA”","","","","","","","","","OŁÓWEK czerwony „#goZAKSA”","","","","","","","","","OŁÓWEK czerwony „#goZAKSA”","","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"240","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","8.00","6.50","23.0","0.00","0.00","23.0","8.00","6.50","23.0","0","3.65","2.97","23.0","5","0","3.65","2.97","23.0","5","0","8.00","6.50","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-04","","20","240-uniw","8.00","6.50","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","1","-1.000","","","https://sklep.zaksa.pl/product-pol-240-LINIJKA.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/0/4/240_1.jpg","2019-10-21 14:12:28","","https://sklep.zaksa.pl/data/gfx/icons/large/0/4/240.jpg","2019-10-21 14:12:47","","","","","","","","","yes","no","no","no","no","5","no","no","no","no","no","yes","","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","no","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5
5","1
1
1
1","AKCESORIA\Szkolne
DO SZKOŁY 
Wszystkie produkty
Marketing\Asortyment na gliwice","43","LINIJKA ","Szkolna linijka z linii dziecięcej o dł. 20 cm.","","","","","","","","LINIJKA ","Szkolna linijka z linii dziecięcej o dł. 20 cm.","","","","","","","","LINIJKA ","Szkolna linijka z linii dziecięcej o dł. 20 cm.","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"241","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","5.00","4.07","23.0","0.00","0.00","23.0","5.00","4.07","23.0","0","3.54","2.88","23.0","5","0","3.54","2.88","23.0","5","0","5.00","4.07","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-05","","20","241-uniw","5.00","4.07","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","8","3","","","https://sklep.zaksa.pl/product-pol-241-GUMKA-TEMPEROWKA-z-herbem.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/1/4/241_2.jpg","2019-10-21 14:12:48","","https://sklep.zaksa.pl/data/gfx/icons/large/1/4/241.jpg","2019-10-21 14:12:47","","","","","","","","","yes","no","no","no","no","5","no","no","no","no","no","yes","","1","stock","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","no","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5","1
1
1","AKCESORIA\Szkolne
DO SZKOŁY 
Wszystkie produkty","43","GUMKA + TEMPERÓWKA z herbem","","","","","","","","","GUMKA + TEMPERÓWKA z herbem","","","","","","","","","GUMKA + TEMPERÓWKA z herbem","","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"242","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","24.90","20.24","23.0","0.00","0.00","23.0","24.90","20.24","23.0","0","16.61","13.50","23.0","5","0","16.61","13.50","23.0","5","0","24.90","20.24","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-07","","50","242-uniw","24.90","20.24","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","","","","","","https://sklep.zaksa.pl/product-pol-242-PIORNIK.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/2/4/242_3.jpg
https://sklep.zaksa.pl/data/gfx/pictures/large/2/4/242_2.jpg","2019-10-21 14:12:42
2019-10-21 14:12:43","","https://sklep.zaksa.pl/data/gfx/icons/large/2/4/242.jpg","2019-10-21 14:12:42","","","","","","","","","yes","no","no","no","no","5","yes","no","no","no","yes","yes","","1","stock","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","no","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5","1
1
1","AKCESORIA\Szkolne
DO SZKOŁY 
Wszystkie produkty","43","PIÓRNIK","Klasyczny piórnik saszetka dla uczących się fanów ZAKSY z herbem Klubu w grafice.
","","","","","","","","PIÓRNIK","Klasyczny piórnik saszetka dla uczących się fanów ZAKSY z herbem Klubu w grafice.
","","","","","","","","PIÓRNIK","Klasyczny piórnik saszetka dla uczących się fanów ZAKSY z herbem Klubu w grafice.
","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"243","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","68.00","55.28","23.0","0.00","0.00","23.0","68.00","55.28","23.0","0","43.73","35.55","23.0","5","0","43.73","35.55","23.0","5","0","68.00","55.28","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-12","","250","243-uniw","68.00","55.28","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","8","1","","","https://sklep.zaksa.pl/product-pol-243-PLECAK-niebieski-ZAKSA-kids.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/3/4/243_2.jpg","2019-10-21 14:12:51","","https://sklep.zaksa.pl/data/gfx/icons/large/3/4/243.jpg","2019-10-21 14:12:49","","","","","","","","","yes","no","no","no","no","5","no","no","no","no","no","yes","","1","stock","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","no","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5
5","1
1
1
1","AKCESORIA\Szkolne
DO SZKOŁY 
Kolekcje\ZAKSA Kids
Wszystkie produkty","43","PLECAK niebieski „ZAKSA kids”","Specjalnie dla najmniejszych kibiców ZAKSY plecak „ZAKSA kids” o wymiarach 12 x 25 x 30 cm.
Klasyczny niebieski kolor przełamują kolorowe naszywki: herb Klubu, napis „#goZAKSA” oraz dedykowany dzieciom koziołek.","","","","","","","","PLECAK niebieski „ZAKSA kids”","Specjalnie dla najmniejszych kibiców ZAKSY plecak „ZAKSA kids” o wymiarach 12 x 25 x 30 cm.
Klasyczny niebieski kolor przełamują kolorowe naszywki: herb Klubu, napis „#goZAKSA” oraz dedykowany dzieciom koziołek.","","","","","","","","PLECAK niebieski „ZAKSA kids”","Specjalnie dla najmniejszych kibiców ZAKSY plecak „ZAKSA kids” o wymiarach 12 x 25 x 30 cm.
Klasyczny niebieski kolor przełamują kolorowe naszywki: herb Klubu, napis „#goZAKSA” oraz dedykowany dzieciom koziołek.","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"244","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","75.00","60.98","23.0","0.00","0.00","23.0","75.00","60.98","23.0","0","51.36","41.76","23.0","5","0","51.36","41.76","23.0","5","0","75.00","60.98","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-13","","350","244-uniw","75.00","60.98","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","","","","","","https://sklep.zaksa.pl/product-pol-244-PLECAK-czerwony.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/4/4/244_2.jpg","2019-10-21 14:12:58","","https://sklep.zaksa.pl/data/gfx/icons/large/4/4/244.jpg","2019-10-21 14:12:52","","","","","","","","","yes","no","no","no","no","5","no","no","no","no","no","yes","","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","no","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5","1
1
1","AKCESORIA\Szkolne
DO SZKOŁY 
Wszystkie produkty","43","PLECAK czerwony","Nieco starszym uczniom i uczennicom proponujemy plecak w kolorze czerwonym o wymiarach 14 x 28 x 40 cm. Plecak jest ozdobiony czterema naszywkami: herbem Klubu, oficjalnym hasztagiem „#goZAKSA”, rokiem założenia ZAKSY oraz naszywką „7xMISTRZ”.","","","","","","","","PLECAK czerwony","Nieco starszym uczniom i uczennicom proponujemy plecak w kolorze czerwonym o wymiarach 14 x 28 x 40 cm. Plecak jest ozdobiony czterema naszywkami: herbem Klubu, oficjalnym hasztagiem „#goZAKSA”, rokiem założenia ZAKSY oraz naszywką „7xMISTRZ”.","","","","","","","","PLECAK czerwony","Nieco starszym uczniom i uczennicom proponujemy plecak w kolorze czerwonym o wymiarach 14 x 28 x 40 cm. Plecak jest ozdobiony czterema naszywkami: herbem Klubu, oficjalnym hasztagiem „#goZAKSA”, rokiem założenia ZAKSY oraz naszywką „7xMISTRZ”.","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"245","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","39.90","32.44","23.0","0.00","0.00","23.0","39.90","32.44","23.0","0","31.37","25.50","23.0","5","0","31.37","25.50","23.0","5","0","39.90","32.44","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-15","","50","245-uniw","39.90","32.44","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","1","-1.000","","","https://sklep.zaksa.pl/product-pol-245-WOREK-SZKOLNY-ZAKSA-kids.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/5/4/245_1.jpg","2019-10-21 14:12:32","","https://sklep.zaksa.pl/data/gfx/icons/large/5/4/245.jpg","2019-10-21 14:12:32","","","","","","","","","yes","no","no","no","no","5","no","no","no","no","no","yes","","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","no","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5
5","1
1
1
1","AKCESORIA\Szkolne
DO SZKOŁY 
Kolekcje\ZAKSA Kids
Wszystkie produkty","43","WOREK SZKOLNY „ZAKSA kids”","Worek z wysokiej jakości materiału o wymiarach 31 x 40 cm","","","","","","","","WOREK SZKOLNY „ZAKSA kids”","Worek z wysokiej jakości materiału o wymiarach 31 x 40 cm","","","","","","","","WOREK SZKOLNY „ZAKSA kids”","Worek z wysokiej jakości materiału o wymiarach 31 x 40 cm","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"246","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","57.00","46.34","23.0","0.00","0.00","23.0","57.00","46.34","23.0","0","41.88","34.05","23.0","5","0","41.88","34.05","23.0","5","0","57.00","46.34","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-20","","200","246-uniw","57.00","46.34","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","1","-1.000","","","https://sklep.zaksa.pl/product-pol-246-ZEGAR-duzy-MIX.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/6/4/246_2.jpg","2019-10-21 14:13:00","","https://sklep.zaksa.pl/data/gfx/icons/large/6/4/246.jpg","2019-10-21 14:12:59","","","","","","","","","yes","no","no","no","no","5","no","no","no","no","no","yes","","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","yes","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5","1
1","AKCESORIA\Domowe
Wszystkie produkty","43","ZEGAR duży MIX","Zegar naścienny w kształcie koła o średnicy 30 cm i grubości 4,5 cm. Idealny dla najmłodszych fanów ZAKSY!","","","","","","","","ZEGAR duży MIX","Zegar naścienny w kształcie koła o średnicy 30 cm i grubości 4,5 cm. Idealny dla najmłodszych fanów ZAKSY!","","","","","","","","ZEGAR duży MIX","Zegar naścienny w kształcie koła o średnicy 30 cm i grubości 4,5 cm. Idealny dla najmłodszych fanów ZAKSY!","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"247","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","57.00","46.34","23.0","0.00","0.00","23.0","57.00","46.34","23.0","0","41.88","34.05","23.0","5","0","41.88","34.05","23.0","5","0","57.00","46.34","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-21","","200","247-uniw","57.00","46.34","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","1","-1.000","","","https://sklep.zaksa.pl/product-pol-247-ZEGAR-duzy.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/7/4/247_1.jpg","2019-10-21 14:11:53","","https://sklep.zaksa.pl/data/gfx/icons/large/7/4/247.jpg","2019-10-21 14:11:51","","","","","","","","","yes","no","no","no","no","5","no","no","no","no","no","yes","","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","yes","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5","1
1","AKCESORIA\Domowe
Wszystkie produkty","43","ZEGAR duży ","Zegar naścienny w kształcie koła o średnicy 30 cm i grubości 4,5 cm","","","","","","","","ZEGAR duży ","Zegar naścienny w kształcie koła o średnicy 30 cm i grubości 4,5 cm","","","","","","","","ZEGAR duży ","Zegar naścienny w kształcie koła o średnicy 30 cm i grubości 4,5 cm","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"248","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","37.00","30.08","23.0","0.00","0.00","23.0","37.00","30.08","23.0","0","16.70","13.58","23.0","5","0","16.70","13.58","23.0","5","0","37.00","30.08","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-22","","150","248-uniw","37.00","30.08","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","1","-1.000","","","https://sklep.zaksa.pl/product-pol-248-ZEGAR-maly-SIATKARZ.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/8/4/248_2.jpg","2019-10-21 14:13:02","","https://sklep.zaksa.pl/data/gfx/icons/large/8/4/248.jpg","2019-10-21 14:13:01","","","","","","","","","yes","no","no","no","no","5","no","no","no","no","no","yes","","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","yes","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5","1
1
1","AKCESORIA\Domowe
Wszystkie produkty
Marketing\Asortyment na gliwice","43","ZEGAR mały „SIATKARZ”","Zegar naścienny w kształcie koła o średnicy 20 cm i grubości 3,7 cm.","","","","","","","","ZEGAR mały „SIATKARZ”","Zegar naścienny w kształcie koła o średnicy 20 cm i grubości 3,7 cm.","","","","","","","","ZEGAR mały „SIATKARZ”","Zegar naścienny w kształcie koła o średnicy 20 cm i grubości 3,7 cm.","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"249","PLN","","","1599454037","ATHL","0","*Kategoria tymczasowa","0","","0","szt.","0","","37.00","30.08","23.0","0.00","0.00","23.0","37.00","30.08","23.0","0","16.70","13.58","23.0","5","0","16.70","13.58","23.0","5","0","37.00","30.08","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-23","","150","249-uniw","37.00","30.08","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","1","-1.000","","","https://sklep.zaksa.pl/product-pol-249-ZEGAR-maly-1994.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/9/4/249_1.jpg","2019-10-21 14:11:50","","https://sklep.zaksa.pl/data/gfx/icons/large/9/4/249.jpg","2019-10-21 14:11:49","","","","","","","","","yes","no","no","no","no","5","yes","no","no","no","yes","yes","","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","yes","no","5","yes","","","","","","","","","","","","","","","","","","","","5
5
5
5","1
1
1
1","AKCESORIA\Domowe
Wszystkie produkty
Marketing\Asortyment na gliwice
Marketing\BESTSELLERY","43","ZEGAR mały „1994”","Zegar naścienny w kształcie koła o średnicy 20 cm i grubości 3,7 cm.","","","","","","","","ZEGAR mały „1994”","Zegar naścienny w kształcie koła o średnicy 20 cm i grubości 3,7 cm.","","","","","","","","ZEGAR mały „1994”","Zegar naścienny w kształcie koła o średnicy 20 cm i grubości 3,7 cm.","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
"250","PLN","","","1599454037","ATHL","1214553953","Kubki/ATHL-501 kubek 330 ml sublimacyjny","0","","0","szt.","0","","22.90","18.62","23.0","0.00","0.00","23.0","22.90","18.62","23.0","0","14.76","12.00","23.0","5","0","14.76","12.00","23.0","5","0","22.90","18.62","23.0","5","0","","","","","","","","","","","","","","uniw","uniwersalny","ZAK-24","","150","250-uniw","22.90","18.62","23.0","0.00","0.00","23.0","0.00","0.00","0.00","0.00","uniw","1","-1.000","","","https://sklep.zaksa.pl/product-pol-250-KUBEK-1994.html","deliverer","0","yes","https://sklep.zaksa.pl/data/gfx/pictures/large/0/5/250_2.jpg","2019-10-21 14:13:04","","https://sklep.zaksa.pl/data/gfx/icons/large/0/5/250.jpg","2019-10-21 14:13:02","","","","","","","","","yes","no","no","no","no","5","yes","yes","no","no","no","yes","6.5","1","manual","5
5
5
5","count_cost
count_cost
client_award
client_award","retailers
wholesalers
retailers
wholesalers","0
0
0
0","","1","1","1","1","yes","no","5","yes","","","","","","","","","","","","","","","","ATHL-501","","","","5
5
5
5","1
1
1
1","AKCESORIA\Domowe
Wszystkie produkty
Marketing\Asortyment na gliwice
AKCESORIA\Kubki","43","KUBEK „1994”","Kubek ceramiczny o pojemności 330 ml w najwyższej jakości z możliwością mycia w zmywarce.","","","","","","","","KUBEK „1994”","Kubek ceramiczny o pojemności 330 ml w najwyższej jakości z możliwością mycia w zmywarce.","","","","","","","","KUBEK „1994”","Kubek ceramiczny o pojemności 330 ml w najwyższej jakości z możliwością mycia w zmywarce.","","","","","","","","","","","","","","","","","","","","","","","same_prices","0","","wholesale_notequals_retail","5","pos_notequals_retail","5","","","","","","","","","",""
